Order ID,Customer ID,Product ID,Postal Code,Order Date,Sales,Quantity,Discount,Profit
CA-2020-152156,CG-12520,FUR-BO-10001798,42420.0,2020-11-08,261.96,2,0.0,41.9136
CA-2020-152156,CG-12520,FUR-CH-10000454,42420.0,2020-11-08,731.9399999999999,3,0.0,219.58199999999997
CA-2020-138688,DV-13045,OFF-LA-10000240,90036.0,2020-06-12,14.62,2,0.0,6.8713999999999995
US-2019-108966,SO-20335,FUR-TA-10000577,33311.0,2019-10-11,957.5775,5,0.45,-383.03100000000006
US-2019-108966,SO-20335,OFF-ST-10000760,33311.0,2019-10-11,22.368000000000002,2,0.2,2.516399999999999
CA-2018-115812,BH-11710,FUR-FU-10001487,90032.0,2018-06-09,48.86,7,0.0,14.169399999999996
CA-2018-115812,BH-11710,OFF-AR-10002833,90032.0,2018-06-09,7.28,4,0.0,1.9656000000000002
CA-2018-115812,BH-11710,TEC-PH-10002275,90032.0,2018-06-09,907.152,6,0.2,90.71520000000004
CA-2018-115812,BH-11710,OFF-BI-10003910,90032.0,2018-06-09,18.504,3,0.2,5.7825
CA-2018-115812,BH-11710,OFF-AP-10002892,90032.0,2018-06-09,114.9,5,0.0,34.46999999999999
CA-2018-115812,BH-11710,FUR-TA-10001539,90032.0,2018-06-09,1706.1840000000002,9,0.2,85.3091999999998
CA-2018-115812,BH-11710,TEC-PH-10002033,90032.0,2018-06-09,911.424,4,0.2,68.35680000000002
CA-2021-114412,AA-10480,OFF-PA-10002365,28027.0,2021-04-15,15.552000000000003,3,0.2,5.4432
CA-2020-161389,IM-15070,OFF-BI-10003656,98103.0,2020-12-05,407.97600000000006,3,0.2,132.59219999999993
US-2019-118983,HP-14815,OFF-AP-10002311,76106.0,2019-11-22,68.80999999999999,5,0.8,-123.858
US-2019-118983,HP-14815,OFF-BI-10000756,76106.0,2019-11-22,2.5439999999999996,3,0.8,-3.8160000000000016
CA-2018-105893,PK-19075,OFF-ST-10004186,53711.0,2018-11-11,665.88,6,0.0,13.317599999999999
CA-2018-167164,AG-10270,OFF-ST-10000107,84084.0,2018-05-13,55.5,2,0.0,9.989999999999995
CA-2018-143336,ZD-21925,OFF-AR-10003056,94109.0,2018-08-27,8.56,2,0.0,2.4823999999999993
CA-2018-143336,ZD-21925,TEC-PH-10001949,94109.0,2018-08-27,213.48000000000002,3,0.2,16.01099999999998
CA-2018-143336,ZD-21925,OFF-BI-10002215,94109.0,2018-08-27,22.72,4,0.2,7.383999999999999
CA-2020-137330,KB-16585,OFF-AR-10000246,68025.0,2020-12-09,19.459999999999997,7,0.0,5.0596
CA-2020-137330,KB-16585,OFF-AP-10001492,68025.0,2020-12-09,60.339999999999996,7,0.0,15.688400000000001
US-2021-156909,SF-20065,FUR-CH-10002774,19140.0,2021-07-16,71.37199999999999,2,0.3,-1.0196000000000005
CA-2019-106320,EB-13870,FUR-TA-10000577,84057.0,2019-09-25,1044.6299999999999,3,0.0,240.2649
CA-2020-121755,EH-13945,OFF-BI-10001634,90049.0,2020-01-16,11.648000000000001,2,0.2,4.2224
