Order ID,Ship Date,Ship Mode
CA-2020-152156,2020-11-11,Second Class
CA-2020-138688,2020-06-16,Second Class
US-2019-108966,2019-10-18,Standard Class
CA-2018-115812,2018-06-14,Standard Class
CA-2021-114412,2021-04-20,Standard Class
CA-2020-161389,2020-12-10,Standard Class
US-2019-118983,2019-11-26,Standard Class
CA-2018-105893,2018-11-18,Standard Class
CA-2018-167164,2018-05-15,Second Class
CA-2018-143336,2018-09-01,Second Class
CA-2020-137330,2020-12-13,Standard Class
US-2021-156909,2021-07-18,Second Class
CA-2019-106320,2019-09-30,Standard Class
CA-2020-121755,2020-01-20,Second Class
US-2019-150630,2019-09-21,Standard Class
CA-2021-107727,2021-10-23,Second Class
CA-2020-117590,2020-12-10,First Class
CA-2019-117415,2019-12-31,Standard Class
CA-2021-120999,2021-09-15,Standard Class
CA-2020-101343,2020-07-22,Standard Class
CA-2021-139619,2021-09-23,Standard Class
CA-2020-118255,2020-03-13,First Class
CA-2018-146703,2018-10-25,Second Class
CA-2020-169194,2020-06-25,Standard Class
CA-2019-115742,2019-04-22,Standard Class
CA-2020-105816,2020-12-17,Standard Class
CA-2020-111682,2020-06-18,First Class
CA-2019-135545,2019-11-30,Standard Class
US-2019-164175,2019-05-05,Standard Class
CA-2018-106376,2018-12-10,Standard Class
CA-2020-119823,2020-06-06,First Class
CA-2020-106075,2020-09-23,Standard Class
CA-2021-114440,2021-09-17,Second Class
US-2019-134026,2019-05-02,Standard Class
US-2021-118038,2021-12-11,First Class
US-2018-147606,2018-12-01,Second Class
CA-2020-127208,2020-06-15,First Class
CA-2018-139451,2018-10-16,Standard Class
CA-2019-149734,2019-09-08,Standard Class
US-2021-119662,2021-11-16,First Class
CA-2021-140088,2021-05-30,Second Class
CA-2021-155558,2021-11-02,Standard Class
CA-2020-159695,2020-04-10,Second Class
CA-2020-109806,2020-09-22,Standard Class
CA-2019-149587,2019-02-05,Second Class
US-2021-109484,2021-11-12,Standard Class
CA-2021-161018,2021-11-11,Second Class
CA-2021-157833,2021-06-20,First Class
CA-2020-149223,2020-09-11,Standard Class
CA-2020-158568,2020-09-02,Standard Class
CA-2020-129903,2020-12-04,Second Class
US-2019-156867,2019-11-17,Standard Class
CA-2021-119004,2021-11-28,Standard Class
CA-2019-129476,2019-10-20,Standard Class
CA-2021-146780,2021-12-30,Standard Class
CA-2020-128867,2020-11-10,Standard Class
CA-2018-115259,2018-08-27,Second Class
CA-2019-110457,2019-03-06,Standard Class
US-2019-136476,2019-04-10,Standard Class
CA-2020-103730,2020-06-15,First Class
US-2018-152030,2018-12-28,Second Class
US-2018-134614,2018-09-25,Standard Class
US-2021-107272,2021-11-12,Standard Class
US-2020-125969,2020-11-10,Second Class
US-2021-164147,2021-02-05,First Class
CA-2020-145583,2020-10-19,Standard Class
CA-2020-110366,2020-09-07,Second Class
CA-2021-106180,2021-09-23,Standard Class
CA-2021-155376,2021-12-27,Standard Class
CA-2019-110744,2019-09-12,Standard Class
CA-2018-110072,2018-10-28,Standard Class
CA-2020-114489,2020-12-09,Standard Class
CA-2020-158834,2020-03-16,First Class
CA-2019-124919,2019-06-02,First Class
CA-2019-118948,2019-06-03,Standard Class
CA-2018-104269,2018-03-06,Second Class
CA-2020-114104,2020-11-24,Standard Class
CA-2020-162733,2020-05-12,First Class
CA-2019-119697,2019-12-31,Second Class
CA-2020-154508,2020-11-20,Standard Class
CA-2020-113817,2020-11-11,Standard Class
CA-2018-139892,2018-09-12,Standard Class
CA-2018-118962,2018-08-09,Standard Class
US-2018-100853,2018-09-19,Standard Class
US-2021-152366,2021-04-25,Second Class
US-2019-101511,2019-11-23,Second Class
CA-2019-137225,2019-12-19,Standard Class
CA-2018-166191,2018-12-09,Second Class
CA-2018-158274,2018-11-24,Second Class
CA-2020-105018,2020-12-02,Standard Class
CA-2018-123260,2018-08-30,Standard Class
CA-2020-157000,2020-07-22,Standard Class
CA-2019-102281,2019-10-14,First Class
CA-2019-131457,2019-11-06,Standard Class
CA-2018-140004,2018-03-25,Standard Class
CA-2021-107720,2021-11-13,Standard Class
US-2021-124303,2021-07-13,Standard Class
CA-2021-105074,2021-06-29,Standard Class
CA-2018-133690,2018-08-05,First Class
US-2021-116701,2021-12-21,Second Class
CA-2021-126382,2021-06-07,Standard Class
CA-2021-108329,2021-12-14,Standard Class
CA-2021-135860,2021-12-07,Standard Class
CA-2019-101007,2019-02-13,Second Class
CA-2019-146262,2019-01-09,Standard Class
CA-2020-130162,2020-11-01,Standard Class
CA-2019-169397,2019-12-27,First Class
CA-2019-163055,2019-08-16,Standard Class
US-2019-145436,2019-03-04,Standard Class
US-2018-156216,2018-09-17,Standard Class
US-2021-100930,2021-04-12,Standard Class
CA-2021-160514,2021-11-16,Standard Class
CA-2020-157749,2020-06-09,Second Class
CA-2018-131926,2018-06-06,Second Class
CA-2020-154739,2020-12-15,Second Class
CA-2020-145625,2020-09-17,Standard Class
CA-2020-146941,2020-12-13,First Class
US-2019-159982,2019-12-04,Standard Class
CA-2021-163139,2021-12-03,Second Class
US-2021-155299,2021-06-12,Standard Class
US-2018-106992,2018-09-21,Second Class
CA-2020-125318,2020-06-13,Standard Class
CA-2019-155040,2019-11-15,Standard Class
CA-2021-136826,2021-06-20,Standard Class
CA-2020-111010,2020-01-28,Standard Class
US-2021-145366,2021-12-13,Standard Class
CA-2021-163979,2022-01-02,Second Class
CA-2019-155334,2019-07-31,First Class
CA-2021-118136,2021-09-17,First Class
CA-2021-132976,2021-10-17,Standard Class
US-2019-161991,2019-09-28,Second Class
CA-2019-130890,2019-11-06,Standard Class
CA-2019-130883,2019-10-02,Standard Class
CA-2020-112697,2020-12-20,Second Class
CA-2020-110772,2020-11-24,Second Class
CA-2018-111451,2018-12-28,First Class
CA-2020-142545,2020-11-03,Standard Class
US-2021-152380,2021-11-23,Standard Class
CA-2019-144253,2019-05-09,Second Class
CA-2018-130960,2019-01-04,Standard Class
CA-2018-111003,2018-06-06,Standard Class
CA-2021-126774,2021-04-17,First Class
CA-2020-142902,2020-09-14,Second Class
CA-2018-120887,2018-10-03,Standard Class
CA-2018-167850,2018-08-16,Standard Class
CA-2018-164259,2018-12-30,First Class
CA-2018-164973,2018-11-09,Standard Class
CA-2018-156601,2018-09-24,Standard Class
CA-2020-162138,2020-04-27,Standard Class
CA-2021-153339,2021-11-05,Second Class
US-2020-141544,2020-09-01,First Class
US-2020-150147,2020-04-29,Second Class
CA-2019-137946,2019-09-04,Second Class
CA-2018-129924,2018-07-17,Standard Class
CA-2019-128167,2019-06-26,Second Class
CA-2018-122336,2018-04-17,Second Class
US-2019-120712,2019-12-24,Standard Class
CA-2021-169901,2021-06-19,Standard Class
CA-2021-134306,2021-07-12,Standard Class
CA-2020-129714,2020-09-03,First Class
CA-2020-138520,2020-04-13,Standard Class
CA-2020-130001,2020-04-28,Standard Class
CA-2021-155698,2021-03-11,First Class
CA-2021-144904,2021-10-01,Standard Class
CA-2018-123344,2018-09-29,Standard Class
CA-2020-155516,2020-10-21,Same Day
CA-2021-104745,2021-06-04,Standard Class
US-2018-119137,2018-07-27,Standard Class
US-2020-134656,2020-10-01,First Class
US-2021-134481,2021-09-01,Standard Class
CA-2019-130792,2019-05-05,Standard Class
CA-2020-134775,2020-10-29,First Class
CA-2019-125395,2019-06-29,Second Class
US-2019-168935,2019-12-02,Standard Class
CA-2019-122756,2019-12-07,Standard Class
CA-2018-115973,2018-11-26,First Class
CA-2021-101798,2021-12-15,Standard Class
US-2018-135972,2018-09-23,Second Class
US-2018-134971,2018-06-10,Second Class
CA-2021-102946,2021-07-05,Standard Class
CA-2021-165603,2021-10-19,Second Class
CA-2019-122259,2019-11-04,Standard Class
CA-2020-108987,2020-09-10,Second Class
CA-2018-113166,2018-12-26,First Class
CA-2018-155208,2018-04-20,Standard Class
CA-2021-117933,2021-12-29,Standard Class
CA-2021-117457,2021-12-12,Standard Class
CA-2021-142636,2021-11-07,Standard Class
CA-2021-122105,2021-06-28,Standard Class
CA-2020-148796,2020-04-18,Standard Class
CA-2021-154816,2021-11-10,Standard Class
CA-2021-110478,2021-03-09,Standard Class
CA-2018-142048,2018-06-25,First Class
CA-2021-125388,2021-10-23,Standard Class
CA-2021-155705,2021-08-23,Second Class
CA-2021-149160,2021-11-26,Second Class
CA-2018-101476,2018-09-13,First Class
CA-2021-152275,2021-10-08,Standard Class
US-2020-123750,2020-04-21,Standard Class
CA-2020-127369,2020-06-07,First Class
US-2018-150574,2018-12-25,Standard Class
CA-2020-147375,2020-06-14,Second Class
CA-2021-130043,2021-09-19,Standard Class
CA-2021-157252,2021-01-23,Second Class
CA-2020-115756,2020-09-07,Second Class
CA-2021-154214,2021-03-25,Second Class
CA-2020-166674,2020-04-03,Second Class
CA-2021-147277,2021-10-24,Standard Class
CA-2020-100153,2020-12-17,Standard Class
US-2018-110674,2018-02-18,Standard Class
US-2020-157945,2020-10-01,Standard Class
CA-2019-109638,2019-12-22,Standard Class
CA-2020-109869,2020-04-29,Standard Class
US-2019-101399,2019-01-24,Standard Class
CA-2021-154907,2021-04-04,Standard Class
US-2020-100419,2020-12-20,Second Class
CA-2019-154144,2019-12-24,Standard Class
CA-2018-144666,2018-11-11,Second Class
CA-2020-103891,2020-07-19,Standard Class
CA-2020-152632,2020-11-02,Standard Class
CA-2020-100790,2020-07-02,Standard Class
CA-2018-134677,2018-10-10,Standard Class
CA-2018-127691,2018-07-27,Standard Class
CA-2021-140963,2021-06-13,First Class
CA-2018-154627,2018-10-31,First Class
CA-2018-133753,2018-06-13,Second Class
CA-2018-113362,2018-09-19,Standard Class
CA-2020-169166,2020-05-14,Standard Class
US-2020-120929,2020-03-21,Second Class
CA-2019-134782,2019-12-31,Standard Class
CA-2020-126158,2020-07-31,Standard Class
US-2020-105578,2020-06-04,Standard Class
CA-2021-134978,2021-11-15,Second Class
CA-2019-145352,2019-03-22,Standard Class
CA-2021-135307,2021-11-27,First Class
CA-2020-106341,2020-10-23,First Class
CA-2021-163405,2021-12-25,Standard Class
CA-2021-127432,2021-01-27,Standard Class
CA-2019-157812,2019-03-26,Standard Class
CA-2021-145142,2021-01-25,First Class
US-2020-139486,2020-05-23,First Class
CA-2019-158792,2020-01-02,Standard Class
CA-2021-113558,2021-10-26,Standard Class
US-2019-138303,2019-09-07,Standard Class
CA-2019-102848,2019-11-09,Second Class
US-2021-129441,2021-09-11,Standard Class
CA-2020-168753,2020-06-01,Second Class
CA-2020-126613,2020-07-16,Standard Class
US-2021-122637,2021-09-08,Second Class
CA-2019-147851,2019-12-08,Standard Class
CA-2019-134894,2019-12-11,Standard Class
CA-2018-140795,2018-02-03,First Class
CA-2020-136924,2020-07-17,First Class
US-2019-120161,2019-12-23,Standard Class
CA-2018-103849,2018-05-16,Standard Class
CA-2021-162929,2021-11-22,First Class
CA-2019-113173,2019-11-17,Second Class
